Depth (cm),Age (ka BP),Ti/Ca
300.5,30.299,0.175
301,30.306,0.166
301.5,30.314,0.159
302,30.321,0.136
302.5,30.329,0.151
303,30.336,0.138
303.5,30.344,0.131
304,30.351,0.136
304.5,30.359,0.131
305,30.366,0.135
305.5,30.374,0.128
306,30.381,0.119
306.5,30.389,0.121
307,30.396,0.112
307.5,30.404,0.106
308,30.411,0.108
308.5,30.419,0.113
309,30.426,0.111
309.5,30.434,0.108
310,30.441,0.109
310.5,30.449,0.103
311,30.456,0.105
311.5,30.464,0.111
312,30.471,0.111
312.5,30.479,0.115
313,30.486,0.112
313.5,30.494,0.113
314,30.501,0.110
314.5,30.509,0.107
315,30.516,0.118
315.5,30.524,0.116
316,30.531,0.119
316.5,30.539,0.120
317,30.546,0.131
317.5,30.554,0.146
318,30.561,0.153
318.5,30.569,0.159
319,30.576,0.163
319.5,30.584,0.144
320,30.591,0.155
320.5,30.599,0.153
321,30.606,0.164
321.5,30.614,0.151
322,30.621,0.149
322.5,30.629,0.138
323,30.636,0.143
323.5,30.644,0.156
324,30.651,0.140
324.5,30.659,0.161
325,30.666,0.164
325.5,30.674,0.171
326,30.681,0.151
326.5,30.689,0.159
327,30.696,0.159
327.5,30.704,0.167
328,30.711,0.166
328.5,30.719,0.171
329,30.726,0.114
329.5,30.734,0.127
330,30.741,0.207
330.5,30.749,0.214
331,30.756,0.208
331.5,30.764,0.205
332,30.771,0.206
332.5,30.779,0.206
333,30.786,0.199
333.5,30.794,0.222
334,30.801,0.213
334.5,30.809,0.227
335,30.816,0.256
335.5,30.824,0.263
336,30.831,0.201
336.5,30.839,0.180
337,30.846,0.235
337.5,30.854,0.230
338,30.861,0.250
338.5,30.880,0.256
339,30.899,0.250
339.5,30.917,0.234
340,30.936,0.228
340.5,30.955,0.250
341,30.974,0.235
341.5,30.993,0.242
342,31.011,0.238
342.5,31.030,0.246
343,31.049,0.270
343.5,31.068,0.239
344,31.087,0.217
344.5,31.105,0.230
345,31.124,0.238
345.5,31.143,0.221
346,31.162,0.229
346.5,31.181,0.230
347,31.199,0.230
347.5,31.218,0.208
348,31.237,0.190
348.5,31.256,0.196
349,31.275,0.189
349.5,31.293,0.181
350,31.312,0.181
350.5,31.331,0.185
351,31.350,0.171
351.5,31.369,0.171
352,31.387,0.174
352.5,31.406,0.166
353,31.425,0.155
353.5,31.444,0.125
354,31.463,0.131
354.5,31.481,0.116
355,31.500,0.115
355.5,31.519,0.111
356,31.538,0.110
356.5,31.557,0.109
357,31.575,0.116
357.5,31.594,0.116
358,31.613,0.116
358.5,31.632,0.117
359,31.651,0.117
359.5,31.669,0.125
360,31.688,0.135
360.5,31.707,0.133
361,31.726,0.126
361.5,31.745,0.135
362,31.764,0.148
362.5,31.782,0.149
363,31.801,0.153
363.5,31.820,0.162
365.5,31.895,0.166
366,31.914,0.173
366.5,31.933,0.175
367,31.952,0.170
367.5,31.970,0.168
368,31.989,0.177
368.5,32.008,0.172
369,32.027,0.181
369.5,32.046,0.207
370,32.064,0.223
370.5,32.083,0.212
371,32.102,0.206
371.5,32.121,0.210
372,32.140,0.209
372.5,32.158,0.203
373,32.177,0.195
373.5,32.196,0.212
374,32.215,0.214
374.5,32.234,0.212
375,32.252,0.209
375.5,32.271,0.202
376,32.290,0.203
376.5,32.309,0.204
377,32.328,0.189
377.5,32.346,0.219
378,32.365,0.238
378.5,32.384,0.231
379,32.403,0.216
379.5,32.422,0.221
380,32.440,0.240
380.5,32.459,0.227
381,32.478,0.227
381.5,32.497,0.234
382,32.516,0.211
382.5,32.534,0.201
383,32.553,0.201
