lat,lon,sampleID,siteID,entityID,elevation,d18,d13,age,Ref
-5.92,-77.35,42005,25,93,114,-6.986,-9.463,422,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42006,25,93,114,-6.969,-9.332,428,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42007,25,93,114,-7.074,-8.975,433,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42008,25,93,114,-7.166,-9.165,437,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42009,25,93,114,-7.14,-9.002,442,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42010,25,93,114,-7.218,-8.727,446,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42011,25,93,114,-7.176,-9.022,451,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42012,25,93,114,-7.131,-8.567,455,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42013,25,93,114,-7.194,-8.698,459,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42014,25,93,114,-7.275,-8.787,464,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42015,25,93,114,-7.192,-8.839,468,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42016,25,93,114,-7.24,-8.693,473,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42017,25,93,114,-7.301,-8.229,477,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42018,25,93,114,-7.22,-8.465,482,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42019,25,93,114,-7.264,-8.319,486,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42020,25,93,114,-7.074,-8.293,491,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42021,25,93,114,-7.049,-8.493,495,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42022,25,93,114,-7.046,-8.384,500,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42023,25,93,114,-7.055,-8.49,504,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42024,25,93,114,-6.911,-8.13,508,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42025,25,93,114,-6.822,-8.732,513,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42026,25,93,114,-7.305,-8.764,517,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42027,25,93,114,-6.921,-8.441,522,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42028,25,93,114,-6.936,-8.646,526,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42029,25,93,114,-7.085,-8.69,531,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42030,25,93,114,-7.106,-8.692,535,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42031,25,93,114,-7.156,-9.081,540,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42032,25,93,114,-7.053,-9.107,544,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42033,25,93,114,-6.801,-8.823,549,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42034,25,93,114,-6.676,-8.59,553,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42035,25,93,114,-7.137,-8.6,557,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42036,25,93,114,-7.221,-8.656,562,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42037,25,93,114,-7.058,-8.701,566,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42038,25,93,114,-7.177,-8.706,571,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42039,25,93,114,-6.967,-8.566,575,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42040,25,93,114,-7.009,-8.478,580,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42041,25,93,114,-7.16,-8.61,584,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42042,25,93,114,-7.084,-8.589,589,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42043,25,93,114,-7.037,-8.783,593,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42044,25,93,114,-7.073,-9.185,598,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42045,25,93,114,-7.114,-9.083,602,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42046,25,93,114,-6.959,-8.922,606,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42047,25,93,114,-7.032,-9.227,611,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42048,25,93,114,-7.027,-9.409,618,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42049,25,93,114,-6.959,-9.291,626,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42050,25,93,114,-6.872,-9.515,633,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42051,25,93,114,-6.914,-9.703,641,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42052,25,93,114,-7.139,-9.77,648,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42053,25,93,114,-7.081,-9.83,656,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42054,25,93,114,-7.242,-9.68,663,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42055,25,93,114,-7.198,-10.204,671,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42056,25,93,114,-7.08,-10.131,678,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42057,25,93,114,-7.231,-9.801,686,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42058,25,93,114,-7.154,-9.808,693,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42059,25,93,114,-7.105,-9.662,701,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42060,25,93,114,-7.039,-9.517,708,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42061,25,93,114,-7.012,-9.67,716,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42062,25,93,114,-7.201,-9.362,723,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42063,25,93,114,-6.948,-9.571,731,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42064,25,93,114,-7.048,-9.838,738,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42065,25,93,114,-7.034,-9.977,746,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42066,25,93,114,-6.981,-9.721,753,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42067,25,93,114,-7.055,-9.974,761,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42068,25,93,114,-6.933,-10.065,768,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42069,25,93,114,-7.008,-10.139,776,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42070,25,93,114,-7.065,-10.037,783,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42071,25,93,114,-7.061,-9.85,791,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42072,25,93,114,-7,-9.793,798,van Breukelen et al. 2008; EPSL
