"dating_id","entity_id","date_type","depth_dating","dating_thickness","lab_num","material_dated","min_weight","max_weight","uncorr_age","uncorr_age_uncert_pos","uncorr_age_uncert_neg","14C_correction","calib_used","date_used","238U_content","238U_uncertainty","232Th_content","232Th_uncertainty","230Th_content","230Th_uncertainty","230Th_232Th_ratio","230Th_232Th_ratio_uncertainty","230Th_238U_activity","230Th_238U_activity_uncertainty","234U_238U_activity","234U_238U_activity_uncertainty","ini_230Th_232Th_ratio","ini_230Th_232Th_ratio_uncertainty","decay_constant","corr_age","corr_age_uncert_pos","corr_age_uncert_neg","date_used_lin_interp","date_used_lin_reg","date_used_Bchron","date_used_Bacon","date_used_OxCal","date_used_copRa","date_used_StalAge"
6939,390,"MC-ICP-MS U/Th",360,2,"7694.0","calcite",0.09901,0.09901,3004,58,58,NA,NA,"yes",54.847,0.015,0,0,0.03605,0.00068,NA,NA,0.03995,0.00076,1.4392,0.0019,0.825111034,0.412555517,"Cheng et al. 2000",3001,59.3,59.3,NA,NA,NA,NA,NA,NA,NA
6940,390,"MC-ICP-MS U/Th",412,2,"7695.0","calcite",0.12729,0.12729,3410,54,54,NA,NA,"yes",48.417,0.009,49.49,0.145,0.03553,0.00053,134,2,0.04465,0.00068,1.423,0.0013,0.825111034,0.412555517,"Cheng et al. 2000",3385.7,54.05,54.05,NA,NA,NA,NA,NA,NA,NA
6941,390,"MC-ICP-MS U/Th",448,2,"7696.0","calcite",0.10672,0.10672,3661,57,57,NA,NA,"yes",44.231,0.01,0,0,0.03421,0.00051,NA,NA,0.04706,7e-04,1.4006,0.0016,0.825111034,0.412555517,"Cheng et al. 2000",3658.7,57.5,57.5,NA,NA,NA,NA,NA,NA,NA
6942,390,"Multiple methods",3.2,0.1,NA,"calcite",NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,3,3,NA,NA,NA,NA,NA,NA,NA
6943,390,"Event; end of laminations",1.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23,1,1,NA,NA,NA,NA,NA,NA,NA
6944,390,"Event; start of laminations",46.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,3,3,NA,NA,NA,NA,NA,NA,NA
6945,391,"Event; actively forming",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53,1,1,NA,NA,NA,NA,NA,NA,NA
6946,391,"Event; end of laminations",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53,1,1,NA,NA,NA,NA,NA,NA,NA
6947,391,"Event; start of laminations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723,NA,NA,NA,NA,NA,NA,NA,NA,NA
6948,392,"MC-ICP-MS U/Th",42.5,NA,NA,"calcite",232.1,232.1,46.9,4.8,4.8,NA,NA,"yes",204.56,0.2,44.7,3,NA,NA,6.05269661056904,0.740391022699577,0.000432,4.4e-05,1.0067,1.0015,4,2,"Cheng et al. 2000",-20.71,5.6,5.6,NA,NA,"yes",NA,NA,NA,NA
